Target, LastValue, ForcastLower1, ForcastFit1, ForcastUpper1, ForcastLower5, ForcastFit5, ForcastUpper5, Diff1, Diff5, Day1Perc, Day5Perc
GLW , 33.540001 , 30.3112653427432 , 32.0726019754507 , 33.8339386081582 , 32.7771087984454 , 34.9628700777082 , 37.148631356971 , -1.46739902454931 , 1.4228690777082 , -4.37507149910135 , 4.24230481599628
HPQ , 23.23 , 21.0918738660657 , 22.433030639705 , 23.7741874133444 , 19.8160017680173 , 21.4803335549148 , 23.1446653418122 , -0.79696936029498 , -1.74966644508521 , -3.43077641108472 , -7.53192615189501
HUBS , 127.849998 , 124.492332147303 , 132.230946355329 , 139.969560563355 , 113.969848891723 , 123.573216571106 , 133.17658425049 , 4.38094835532905 , -4.27678142889357 , 3.42663153997785 , -3.345155647866
IBM , 145.149994 , 134.320476918103 , 143.196888997095 , 152.073301076087 , 127.158054673808 , 138.17339237857 , 149.188730083332 , -1.95310500290483 , -6.97660162142981 , -1.34557704694417 , -4.8064773750041
INFY , 20.34 , 19.1899274642583 , 20.3997710635906 , 21.6096146629229 , 19.7991644258156 , 21.300540848856 , 22.8019172718965 , 0.0597710635906132 , 0.960540848856009 , 0.293859703002032 , 4.72242305238943
JBL , 28.049999 , 25.6702121241759 , 27.6239748227186 , 29.5777375212613 , 24.3289874979592 , 26.7535432450217 , 29.1780989920842 , -0.426024177281423 , -1.29645575497831 , -1.51880282520304 , -4.62194581532183
JNPR , 26.18 , 24.3406893846926 , 26.7567197383999 , 29.1727500921072 , 22.7088680931373 , 25.7070829139688 , 28.7052977348004 , 0.576719738399863 , -0.47291708603117 , 2.20290198013699 , -1.80640598178446
LDOS , 68.470001 , 62.1710987846697 , 65.5322226898788 , 68.8933465950879 , 63.0346303048158 , 67.2056753795541 , 71.3767204542925 , -2.93777831012122 , -1.26432562044587 , -4.29060649512948 , -1.84653950924562
MSI , 123.449997 , 119.99983149357 , 124.220631421947 , 128.441431350325 , 117.829368483185 , 123.067243446803 , 128.305118410422 , 0.770634421947221 , -0.382753553196579 , 0.624248230599164 , -0.310047438232485
MXL , 16.860001 , 14.8190662499362 , 16.3629653186279 , 17.9068643873196 , 14.0758390999189 , 15.9917674584002 , 17.9076958168815 , -0.497035681372093 , -0.868233541599775 , -2.94801691513597 , -5.14966482860692
